loan_seq_number,credit_score,first_payment_date,first_time_homebuyer_flag,maturity_date,msa,mortgage_insurance_percentage,number_of_units,occupancy_status,original_combined_ltv,original_dti_ratio,original_upb,original_ltv,original_interest_rate,channel,prepayment_penalty_flag,product_type,property_state,property_type,postal_code,loan_purpose,original_loan_term,number_of_borrowers,seller_name,servicer_name
F100Q1133530,748,1/1/2005,N,3/1/2030,,0,1,O,74,29,106000,74,5.875,R,N,FIX30,IN,SF,47200,C,303,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F100Q1133531,641,3/1/2005,N,2/1/2035,19124,0,1,O,95,56,165000,80,5.625,T,N,FIX30,TX,SF,75200,P,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q1133532,748,3/1/2005,Y,2/1/2035,,0,1,O,79,23,70000,79,5.75,T,N,FIX30,IL,SF,61400,P,360,1,Other sellers,"WELLSFARGOBANK,NA"
F100Q1133533,630,3/1/2005,N,2/1/2035,35644,0,2,O,51,45,147000,51,6,T,N,FIX30,NJ,SF,7000,C,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q1133536,767,5/1/2005,N,4/1/2035,,0,1,O,80,57,197000,80,5.375,T,N,FIX30,LA,SF,71000,N,360,2,Other sellers,Other servicers
F100Q1133540,633,5/1/2005,N,4/1/2035,16974,0,1,O,49,60,88000,49,5.75,R,N,FIX30,IL,SF,60100,C,360,1,Other sellers,WASHINGTONMUTUALBANK
F100Q1133542,748,6/1/2005,N,5/1/2035,40900,0,1,O,70,39,193000,70,5.875,R,N,FIX30,CA,SF,95600,C,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q1133543,797,5/1/2005,N,1/1/2031,,0,1,O,55,62,231000,55,5.5,R,N,FIX30,WA,SF,98300,P,309,2,Other sellers,Other servicers
F100Q2203571,756,7/1/2005,N,6/1/2035,36740,0,1,O,78,24,120000,78,6,R,N,FIX30,FL,SF,32800,C,360,2,Other sellers,Other servicers
F100Q2203577,795,8/1/2005,N,7/1/2035,12060,0,1,O,47,24,310000,47,5.25,R,N,FIX30,GA,PU,30000,P,360,2,"BANKOFAMERICA,NA","BANKOFAMERICA,NA"
F100Q2203584,766,8/1/2005,N,5/1/2031,39540,0,1,O,48,27,235000,44,5.725,R,N,FIX30,WI,SF,53400,N,310,2,Other sellers,Other servicers
F100Q2203585,596,8/1/2005,N,7/1/2035,26420,25,1,O,95,26,174000,95,5.625,T,N,FIX30,TX,SF,77000,P,360,2,COUNTRYWIDE,Other servicers
F100Q2203587,766,8/1/2005,Y,7/1/2035,37964,0,1,O,67,44,335000,67,5.125,T,N,FIX30,PA,SF,19400,P,360,2,Other sellers,Other servicers
F100Q2203589,763,9/1/2005,N,8/1/2035,20764,0,1,O,59,47,150000,59,5.625,T,N,FIX30,NJ,SF,8700,N,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q2203591,688,8/1/2005,N,7/1/2035,41500,0,1,I,48,60,292000,48,5.875,T,N,FIX30,CA,SF,93900,C,360,2,Other sellers,Other servicers
F100Q2203597,660,7/1/2006,N,6/1/2036,39300,0,1,O,71,54,150000,71,6.75,R,N,FIX30,RI,SF,2900,C,360,2,Other sellers,WASHINGTONMUTUALBANK
F100Q2203614,644,6/1/2007,N,5/1/2037,13460,0,1,O,80,39,227000,80,5.5,T,N,FIX30,OR,SF,97700,P,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q2203615,786,6/1/2007,N,5/1/2037,37964,0,1,O,65,23,417000,65,6.125,T,N,FIX30,PA,PU,19400,P,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q2203618,663,10/1/2007,N,9/1/2037,42644,0,1,O,28,34,175000,28,6.51,R,N,FIX30,WA,SF,98000,P,360,2,Other sellers,Other servicers
F100Q2203702,525,5/1/2005,N,7/1/2030,,0,1,O,70,44,41000,61,7.2,C,N,FIX30,NC,SF,27900,C,303,1,Other sellers,Other servicers
F100Q3227178,691,2/1/2005,N,9/1/2030,48424,0,1,O,58,35,76000,58,6.375,R,N,FIX30,FL,SF,33400,N,308,2,Other sellers,Other servicers
F100Q3227185,615,3/1/2005,N,2/1/2035,45104,0,1,O,35,31,169000,35,5.6,R,N,FIX30,WA,SF,98500,P,360,2,Other sellers,Other servicers
F100Q3227211,777,8/1/2005,N,9/1/2030,26420,0,1,O,74,52,217000,74,5.75,R,N,FIX30,TX,PU,77400,P,302,2,Other sellers,Other servicers
F100Q3227212,784,9/1/2005,N,8/1/2035,,0,1,O,95,22,320000,80,5.625,T,N,FIX30,TX,PU,75100,P,360,2,CHASEMANHATTANMTGECO,Other servicers
F100Q3227214,709,9/1/2005,N,10/1/2030,,0,1,O,75,46,134000,75,6,T,N,FIX30,WI,SF,54400,P,302,2,Other sellers,Other servicers
F100Q3227216,647,9/1/2005,N,8/1/2035,,25,1,O,90,27,117000,90,5.875,T,N,FIX30,IN,SF,47100,P,360,2,Other sellers,WASHINGTONMUTUALBANK
F100Q3227220,744,5/1/2005,N,8/1/2030,,0,1,O,32,29,57000,32,5.875,R,N,FIX30,IL,SF,62400,C,304,2,Other sellers,FIFTHTHIRDBANK
F100Q3227223,739,11/1/2005,Y,10/1/2035,20220,0,1,O,80,24,142000,80,5.5,T,N,FIX30,IA,SF,52000,P,360,1,Other sellers,WASHINGTONMUTUALBANK
F100Q3227294,808,9/1/2005,N,10/1/2030,15380,0,1,O,70,,87000,70,4.5,R,N,FIX30,NY,SF,14200,P,302,2,Other sellers,Other servicers
F100Q3227296,822,8/1/2005,N,10/1/2030,35084,0,1,O,75,,141000,75,4.72,R,N,FIX30,NJ,CO,7000,P,303,2,Other sellers,Other servicers
F100Q4229299,748,5/1/2005,N,1/1/2032,24660,12,1,O,85,36,161000,85,5.875,R,N,FIX30,NC,SF,27200,P,321,2,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F100Q4229300,751,6/1/2005,N,1/1/2031,17860,30,1,O,89,42,129000,89,5.875,R,N,FIX30,MO,SF,65000,P,308,2,Other sellers,Other servicers
F100Q4229317,764,12/1/2005,N,11/1/2035,11700,0,1,S,80,,120000,80,5.375,T,N,FIX30,NC,SF,28700,P,360,2,Other sellers,"WELLSFARGOBANK,NA"
F100Q4229404,773,4/1/2005,N,11/1/2030,15380,0,1,O,87,,25000,87,4.75,R,N,FIX30,NY,SF,14200,P,308,1,Other sellers,Other servicers
F100Q4229410,807,5/1/2005,N,12/1/2030,15380,0,1,O,82,,145000,82,4.63,R,N,FIX30,NY,SF,14000,P,308,2,Other sellers,Other servicers
F100Q4229411,651,9/1/2005,N,11/1/2030,35644,0,1,O,75,,219000,75,4.48,R,N,FIX30,NY,CO,10500,P,303,1,Other sellers,Other servicers
F101Q1267269,737,3/1/2011,,1/1/2041,40580,0,1,I,69,2,77000,69,7.25,R,N,FIX30,NC,PU,27800,N,359,1,Other sellers,Other servicers
F101Q1286347,737,3/1/2011,,1/1/2041,40580,0,1,I,74,4,77000,74,7.25,R,N,FIX30,NC,SF,27800,N,359,1,Other sellers,Other servicers
F101Q1354886,638,2/1/2005,N,3/1/2032,48424,0,1,O,75,31,110000,75,6.25,R,N,FIX30,FL,SF,33400,N,326,2,Other sellers,Other servicers
F101Q1354910,726,3/1/2005,N,2/1/2035,19124,0,1,O,80,18,246000,80,5.375,T,N,FIX30,TX,PU,75000,P,360,1,CHASEMANHATTANMTGECO,Other servicers
F101Q1354916,646,4/1/2005,N,3/1/2035,14484,0,1,O,80,25,226000,80,5.875,T,N,FIX30,MA,CO,2100,C,360,1,NATLCITYMTGECO,NATLCITYMTGECO
F101Q1354919,709,5/1/2005,N,10/1/2031,33340,0,1,O,65.56109,16,197000,65,6,R,N,FIX30,WI,SF,53000,P,318,2,Other sellers,Other servicers
F101Q1355053,747,2/1/2005,N,2/1/2031,,0,1,O,41,32,53000,41,6.125,R,N,FIX30,MN,SF,55300,N,313,1,"FIRSTARBANK,NA",Other servicers
F101Q1355098,674,11/1/2005,,6/1/2032,,0,1,S,64,36,146000,64,6,R,N,FIX30,MI,SF,49700,N,320,2,Other sellers,Other servicers
F101Q1355133,760,4/1/2006,N,4/1/2031,33340,0,1,O,59,26,180000,59,6.5,R,N,FIX30,WI,SF,53100,N,301,2,Other sellers,Other servicers
F101Q1355159,678,9/1/2006,N,4/1/2032,25860,0,1,O,75,28,96000,75,7.25,R,N,FIX30,NC,SF,28600,P,308,1,BRANCHBANKING&TRUSTC,BRANCHBANKING&TRUSTC
F101Q1355163,722,1/1/2007,N,12/1/2036,24780,0,1,O,80,31,118000,80,7,R,N,FIX30,NC,SF,27800,N,360,2,Other sellers,Other servicers
F101Q1355176,767,4/1/2005,Y,4/1/2031,35084,0,1,O,76,38,323000,76,5.5,R,N,FIX30,NJ,SF,7900,P,313,2,Other sellers,Other servicers
F101Q1355543,635,10/1/2005,N,2/1/2031,,0,1,O,85,15,45000,83,7.95,C,Y,FIX30,NM,SF,87700,C,305,2,Other sellers,"CITIMORTGAGE,INC"
F101Q2468372,672,12/1/2011,N,5/1/2042,29820,25,4,I,90,43,104000,90,7.5,T,N,FIX30,NV,SF,89100,P,366,1,Other sellers,Other servicers
F101Q2468437,679,8/1/2010,N,7/1/2040,19124,0,1,I,80,40,56000,80,8.75,T,N,FIX30,TX,SF,75200,C,360,1,Other sellers,Other servicers
F101Q2468474,745,4/1/2005,N,5/1/2031,,0,1,O,68,33,233000,68,5.625,T,N,FIX30,WI,SF,54500,P,314,2,Other sellers,Other servicers
F101Q2468498,775,6/1/2005,N,7/1/2031,,0,1,O,26,32,28000,26,6.75,T,,FIX30,CT,SF,6200,P,314,2,Other sellers,Other servicers
F101Q2468660,719,8/1/2005,N,7/1/2035,12060,0,1,O,80,29,135000,80,5.5,R,N,FIX30,GA,SF,30000,P,360,1,Other sellers,Other servicers
F101Q2468661,713,8/1/2005,N,7/1/2031,38060,0,1,O,75,27,228000,75,5.875,T,N,FIX30,AZ,SF,85200,P,312,1,Other sellers,Other servicers
F101Q2468667,796,10/1/2005,N,9/1/2031,15380,25,1,O,84,24,180000,84,6.25,R,N,FIX30,NY,SF,14000,N,312,2,Other sellers,Other servicers
F101Q2468669,704,11/1/2005,,9/1/2031,40380,0,1,O,71,29,66000,71,6.25,R,N,FIX30,NY,SF,13100,N,311,2,Other sellers,Other servicers
F101Q2468670,733,11/1/2005,N,6/1/2031,20220,0,1,O,77,36,86000,77,5.999,R,N,FIX30,IA,SF,52000,N,308,2,Other sellers,Other servicers
F101Q2468767,731,4/1/2006,N,5/1/2031,,0,1,O,59,39,32000,59,6.75,R,N,FIX30,NY,SF,13600,C,302,1,Other sellers,Other servicers
F101Q2469083,784,9/1/2005,Y,5/1/2031,15380,30,1,O,90,,64000,90,4.5,R,N,FIX30,NY,SF,14200,P,309,1,HSBCMTGECORPUSA,Other servicers
F101Q2469091,782,3/1/2005,N,7/1/2031,,0,1,O,89,38,107000,89,5.7,R,N,FIX30,PA,SF,18300,P,317,1,Other sellers,Other servicers
F101Q2469105,631,12/1/2005,N,5/1/2031,45300,0,1,O,100,50,82000,98,8.6,C,Y,FIX30,FL,SF,33600,C,306,1,Other sellers,"CITIMORTGAGE,INC"
F101Q2469106,756,1/1/2006,N,6/1/2031,21300,0,1,O,63,,59000,63,6.75,C,Y,FIX30,NY,SF,14900,C,306,1,Other sellers,"CITIMORTGAGE,INC"
F101Q2469115,486,7/1/2005,N,6/1/2031,,0,1,O,96,,87000,96,8.05,C,Y,FIX30,NC,SF,27500,P,312,1,Other sellers,"CITIMORTGAGE,INC"
F101Q2469116,763,12/1/2005,N,6/1/2031,35644,0,1,O,68,,175000,68,6.75,C,N,FIX30,NJ,SF,7000,C,307,1,Other sellers,"CITIMORTGAGE,INC"
F101Q2469140,811,5/1/2012,,4/1/2042,41620,0,1,O,62,15,309000,62,3.875,R,N,FIX30,UT,SF,84100,N,360,2,Other sellers,Other servicers
F101Q2469228,737,2/1/2011,,1/1/2041,40580,0,2,I,67,11,130000,67,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q2469229,772,3/1/2011,,2/1/2041,40580,0,1,I,74,8,84000,74,7.5,R,N,FIX30,NC,PU,27800,N,360,1,Other sellers,Other servicers
F101Q2469302,737,2/1/2011,,1/1/2041,40580,0,1,I,66,6,61000,66,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3226404,655,2/1/2011,,1/1/2041,40580,0,1,I,70,5,76000,70,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3264859,,2/1/2011,,1/1/2041,40580,0,1,I,75,5,76000,75,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3264860,749,2/1/2011,,1/1/2041,40580,0,1,I,71,5,76000,71,7.5,R,N,FIX30,NC,SF,27800,N,360,1,Other sellers,Other servicers
F101Q3404135,772,8/1/2005,N,7/1/2035,17860,0,1,I,80,49,104000,80,6,T,N,FIX30,MO,SF,65200,P,360,1,Other sellers,"WELLSFARGOBANK,NA"
F101Q3404138,741,10/1/2005,N,2/1/2032,,0,1,O,60,32,232000,60,5.875,R,N,FIX30,WI,SF,53000,P,317,2,Other sellers,Other servicers
F101Q3404140,772,10/1/2005,N,9/1/2031,,0,1,O,65,28,119000,65,6,T,N,FIX30,WI,SF,54900,P,312,2,Other sellers,Other servicers
F101Q3404141,622,10/1/2005,Y,9/1/2035,41700,30,1,O,95,48,62000,95,6,T,N,FIX30,TX,SF,78200,P,360,1,Other sellers,"WELLSFARGOBANK,NA"
F101Q3404142,784,8/1/2005,N,2/1/2032,45780,0,1,O,69,30,172000,69,6.5,R,N,FIX30,OH,SF,43500,P,319,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
F101Q3404143,759,9/1/2005,Y,8/1/2031,17460,25,1,O,86,23,165000,86,5.875,R,N,FIX30,OH,SF,44200,P,312,2,FIFTHTHIRDBANK,FIFTHTHIRDBANK
